Этаж,Общее количество этаже в доме,Количество комнат,Площадь квартиры,Цена,Район,Улица,Номер дома,Метро,Расстояние до метро
10,20,1,39.09,17203509.0,Даниловский,Автозаводская ,26/1,Тульская,668.1595277538804
2,22,1,21.6,4700000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,1384.1545620081595
7,8,1,53.0,100000000.0,Якиманка,Софийская набережная,34,Третьяковская,692.8505749636015
6,6,1,35.5,10650000.0,Тверской,2-я Тверская-Ямская ,18,Маяковская,1387.4063843813092
18,21,1,65.5,103162500.0,Пресненский, Костикова,4к1,Улица 1905 года,464.45332523038036
4,14,1,106.9,160350000.0,Хамовники,переулок 1-й Тружеников,16,Киевская,759.4434942534718
5,12,1,28.7,7800000.0,Чертаново Южное,Россошанская ,7К1,Улица Академика Янгеля,677.9988110880234
3,8,1,45.9,35950000.0,Раменки,Винницкая ,8к1,Раменки,492.333720438046
8,25,1,40.6,13000000.0,Митино,Митинская ,28,Митино,356.9963733168547
10,33,1,39.2,22500000.0,Даниловский,Дубининская ,59Б,Серпуховская,1320.6787270599664
16,46,1,44.2,37039600.0,Хорошево-Мневники, Демьяна Бедного,вл24,Карамышевская,926.8536150490204
15,16,1,41.8,20900000.0,Басманный, Новая Дорога,9к2,Электрозаводская,844.1204047012936
1,22,1,19.5,4550000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,1384.1545620081595
3,6,1,78.7,188690000.0,Басманный,Потаповский переулок,5С4,Красные ворота,909.3419841714755
10,14,1,28.7,17500000.0,Лефортово,проезд Шелихова,3,Площадь Ильича,677.872758890332
3,5,1,30.9,9850000.0,Люблино,Таганрогская ,16,Люблино,621.4537344916764
2,27,1,40.51,13898497.0,Покровское-Стрешнево,Волоколамское шоссе,95/1к6,Трикотажная,603.6635702367346
3,17,1,38.0,21500000.0,Лефортово,проезд Шелихова,3,Площадь Ильича,677.872758890332
2,24,1,25.8,5200000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,1384.1545620081595
1,9,1,36.9,7000000.0,Люблино, Верхние Поля,27С2,Братиславская,871.4378120467592
8,16,1,41.0,10195000.0,Печатники, Полбина,54,Депо,11162.134924177546
4,7,1,100.2,234217500.0,Тверской,Никольская ,8,Площадь Революции,56.97912091440002
7,9,1,36.3,8900000.0,Люблино, Верхние Поля,27С2,Братиславская,871.4378120467592
9,17,1,39.0,14500000.0,Братеево, Борисовские Пруды,14К2,Борисово,274.31832394209044
4,8,1,48.3,46854400.0,Замоскворечье,Шлюзовая набережная,2/1С1,Добрынинская,1253.232759394051
7,9,1,36.9,9215000.0,Люблино, Верхние Поля,27С2,Братиславская,871.4378120467592
2,9,1,32.0,14900000.0,Свиблово, Седова,8К2,Свиблово,740.9116243749867
14,34,1,51.5,38500000.0,Дорогомилово,Поклонная ,9,Поклонная,354.4272556090554
4,12,1,32.6,8700000.0,Орехово-Борисово Южное,Тамбовская ,8К1,Зябликово,966.9350661063291
6,6,1,152.3,110000000.0,Беговой, 3-я Ямского Поля,9,Белорусская,477.8820264113699
6,14,1,36.1,20990000.0,Тверской,3-й Самотечный переулок,21,Достоевская,314.75809351517444
17,51,1,44.45,29000000.0,Пресненский,Шмитовский проезд,39с4.2,Шелепиха,399.288913073939
4,9,1,32.2,10300000.0,Ясенево, Паустовского,3,Ясенево,789.7612530105746
6,13,1,85.04,139066675.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,443.9618534232452
21,21,1,35.1,34900000.0,Басманный,площадь Курского Вокзала,1,Чкаловская,119.92438959090843
6,9,1,33.0,10500000.0,Коньково, Академика Волгина,25К1,Университет Дружбы Народов,422.53560330889604
8,17,1,36.2,27000000.0,Тверской,Садовая-Триумфальная ,22/31,Маяковская,526.8738965478119
13,24,1,41.0,10899990.0,Марьино,Новомарьинская ,32,Братиславская,1318.8299645167897
65,66,1,45.5,58012500.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,315.5998741513575
19,41,1,43.0,32500000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,1153.1277666646029
12,25,1,38.0,16000000.0,Лефортово, Крузенштерна,9,Авиамоторная,1086.2627055849118
12,34,1,45.9,33851250.0,Раменки,проезд 4-й Сетуньский,10Ас2,Парк Победы,1210.9566468775654
9,32,1,63.0,58000000.0,Дорогомилово,Поклонная ,9,Поклонная,354.4272556090554
8,9,1,57.6,129729600.0,Тверской,1-я Тверская-Ямская ,2А,Маяковская,2113.8256596887536
32,41,1,43.0,32500000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,1153.1277666646029
9,14,1,38.7,8500000.0,Братеево, Борисовские Пруды,44,Алма-Атинская,1255.4700734728842
5,6,1,57.29,64264800.0,Замоскворечье,Космодамианская набережная,4/22С9,Новокузнецкая,664.6670214388806
17,18,1,39.1,14700000.0,Теплый Стан,Профсоюзная ,128А,Коньково,434.32267684667505
1,9,1,44.2,12000000.0,Даниловский, Трофимова,6Б,Автозаводская,710.9249408353438
13,28,1,36.4,22890000.0,Марфино, Академика Королева,21,Бутырская,723.846616170419
8,22,1,39.9,18550000.0,Печатники,Южнопортовая ,42,Печатники,912.7917980461204
3,7,1,78.34,195850000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,286.6371011885702
16,29,1,47.5,29000000.0,Хорошево-Мневники,Шелепихинская набережная,40к3,Шелепиха,1808.4750052682068
6,16,1,27.1,9500000.0,Очаково-Матвеевское,Матвеевская ,38,Аминьевская,999.9234364895318
24,29,1,50.6,30000000.0,Хорошево-Мневники,Шелепихинская набережная,40к1,Шелепиха,1776.6123565307046
2,12,1,35.0,11490000.0,Нагатинский затон,Затонная ,8К1,Кленовый бульвар,453.88708395794765
15,67,1,47.5,49875000.0,Пресненский,Краснопресненская набережная,14Ак1,Москва-Сити,1011.59554916397
10,19,1,60.0,23690000.0,Хорошево-Мневники,проспект Маршала Жукова,76к2,Народное Ополчение,2211.7270409211774
4,8,1,30.3,14000000.0,Останкинский,Звездный бульвар,12К1,ВДНХ,709.287930304646
11,23,1,51.1,28900000.0,Можайский,Гжатская ,5к2,Давыдково,1036.3630095423882
7,8,1,35.4,7621620.0,Бибирево, Корнейчука,27,Алтуфьево,2428.2059268447256
16,25,1,38.0,12790000.0,Метрогородок,Тагильская ,4В,Бульвар Рокоссовского,1209.7618693308423
2,24,1,19.5,4550000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,1384.1545620081595
11,12,1,61.3,42900000.0,Тверской,2-я Брестская ,6,Маяковская,278.51592892910725
7,8,1,50.0,32950000.0,Гагаринский,Ленинский проспект,38,Ленинский проспект,995.0160230627704
5,12,1,34.1,19000000.0,Обручевский, Академика Челомея,1А,Воронцовская,496.15125866261553
5,9,1,29.4,12000000.0,Филевский парк,Сеславинская ,32,Филёвский парк,461.39283975797343
3,9,1,92.5,164650000.0,Мещанский,Малая Сухаревская площадь,6С4,Сухаревская,182.91553764239362
3,15,1,38.0,30400000.0,Аэропорт,Ленинградский проспект,36с39,Динамо,564.9054972567276
